From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
Q9JIW5,Q9JIW5,reviewed,SMAD9_MOUSE,Mothers against decapentaplegic homolog 9 (MAD homolog 9) (Mothers against DPP homolog 9) (SMAD family member 9) (SMAD 9) (Smad9) (Smad8),Smad9 Madh8 Madh9 Smad8,Mus musculus (Mouse),430
O35182,O35182,reviewed,SMAD6_MOUSE,Mothers against decapentaplegic homolog 6 (MAD homolog 6) (Mothers against DPP homolog 6) (Mad homolog 7) (SMAD family member 6) (SMAD 6) (Smad6),Smad6 Madh6 Madh7 Msmad6,Mus musculus (Mouse),495
O35253,O35253,reviewed,SMAD7_MOUSE,Mothers against decapentaplegic homolog 7 (MAD homolog 7) (Mothers against DPP homolog 7) (Mothers against decapentaplegic homolog 8) (MAD homolog 8) (Mothers against DPP homolog 8) (SMAD family member 7) (SMAD 7) (Smad7),Smad7 Madh7 Madh8,Mus musculus (Mouse),426
P97466,P97466,reviewed,NOGG_MOUSE,Noggin,Nog,Mus musculus (Mouse),232
Q920C1,Q920C1,reviewed,CRDL1_MOUSE,Chordin-like protein 1 (Neuralin-1) (Neurogenesin-1) (Ventroptin),Chrdl1 Ng1 Nrln1,Mus musculus (Mouse),447
O55233,O55233,reviewed,CER1_MOUSE,Cerberus (Cerberus-like protein) (Cer-l) (Cerberus-related protein),Cer1 Cerl Cerr1,Mus musculus (Mouse),272
O88273,O88273,reviewed,GREM2_MOUSE,"Gremlin-2 (Cysteine knot superfamily 1, BMP antagonist 2) (Protein related to DAN and cerberus) (PRDC)",Grem2 Cktsf1b2 Prdc,Mus musculus (Mouse),168
Q62356,Q62356,reviewed,FSTL1_MOUSE,Follistatin-related protein 1 (Follistatin-like protein 1) (TGF-beta-inducible protein TSC-36),Fstl1 Frp Fstl Tsc36,Mus musculus (Mouse),306
Q61288,Q61288,reviewed,ACVL1_MOUSE,Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I),Acvrl1 Acvrlk1 Alk-1,Mus musculus (Mouse),502
Q9WV56,Q9WV56,reviewed,GDF2_MOUSE,Growth/differentiation factor 2 (GDF-2) (Bone morphogenetic protein 9) (BMP-9),Gdf2 Bmp9,Mus musculus (Mouse),428
Q9R229,Q9R229,reviewed,BMP10_MOUSE,Bone morphogenetic protein 10 (BMP-10),Bmp10,Mus musculus (Mouse),421
Q60698,Q60698,reviewed,SKI_MOUSE,Ski oncogene (Proto-oncogene c-Ski),Ski,Mus musculus (Mouse),725
P27106,P27106,reviewed,MIS_MOUSE,Muellerian-inhibiting factor (Anti-Muellerian hormone) (AMH) (Muellerian-inhibiting substance) (MIS),Amh,Mus musculus (Mouse),554
Q8K592,Q8K592,reviewed,AMHR2_MOUSE,Anti-Muellerian hormone type-2 receptor (EC 2.7.11.30) (Anti-Muellerian hormone type II receptor) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII),Amhr2,Mus musculus (Mouse),568
A2A5Z6,A2A5Z6,reviewed,SMUF2_MOUSE,E3 ubiquitin-protein ligase SMURF2 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2),Smurf2,Mus musculus (Mouse),748
Q9CUN6,Q9CUN6,reviewed,SMUF1_MOUSE,E3 ubiquitin-protein ligase SMURF1 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF1) (SMAD ubiquitination regulatory factor 1) (SMAD-specific E3 ubiquitin-protein ligase 1),Smurf1,Mus musculus (Mouse),731
Q80U44,Q80U44,reviewed,ZFY16_MOUSE,Zinc finger FYVE domain-containing protein 16 (Endofin) (Endosomal-associated FYVE domain protein),Zfyve16 Kiaa0305,Mus musculus (Mouse),1528
P61080,P61080,reviewed,UB2D1_MOUSE,Ubiquitin-conjugating enzyme E2 D1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D1) (Ubiquitin carrier protein D1) (Ubiquitin-conjugating enzyme E2(17)KB 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase D1),Ube2d1,Mus musculus (Mouse),147
P61079,P61079,reviewed,UB2D3_MOUSE,Ubiquitin-conjugating enzyme E2 D3 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D3) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D3) (Ubiquitin carrier protein D3) (Ubiquitin-conjugating enzyme E2(17)KB 3) (Ubiquitin-conjugating enzyme E2-17 kDa 3) (Ubiquitin-protein ligase D3),Ube2d3,Mus musculus (Mouse),147
P04202,P04202,reviewed,TGFB1_MOUSE,Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)],Tgfb1,Mus musculus (Mouse),390
Q8K4G1,Q8K4G1,reviewed,LTBP4_MOUSE,Latent-transforming growth factor beta-binding protein 4 (LTBP-4),Ltbp4,Mus musculus (Mouse),1666
Q0VBD0,Q0VBD0,reviewed,ITB8_MOUSE,Integrin beta-8,Itgb8,Mus musculus (Mouse),767
P43406,P43406,reviewed,ITAV_MOUSE,Integrin alpha-V (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain],Itgav,Mus musculus (Mouse),1044
O54890,O54890,reviewed,ITB3_MOUSE,Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61),Itgb3,Mus musculus (Mouse),787
Q9Z0T9,Q9Z0T9,reviewed,ITB6_MOUSE,Integrin beta-6,Itgb6,Mus musculus (Mouse),787
O70309,O70309,reviewed,ITB5_MOUSE,Integrin beta-5,Itgb5,Mus musculus (Mouse),798
P09055,P09055,reviewed,ITB1_MOUSE,Integrin beta-1 (Fibronectin receptor subunit beta) (VLA-4 subunit beta) (CD antigen CD29),Itgb1,Mus musculus (Mouse),798
P17125,P17125,reviewed,TGFB3_MOUSE,Transforming growth factor beta-3 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-3 (TGF-beta-3)],Tgfb3,Mus musculus (Mouse),410
Q91XS1,Q91XS1,reviewed,MTMR4_MOUSE,Myotubularin-related protein 4 (EC 3.1.3.48),Mtmr4,Mus musculus (Mouse),1190
Q62312,Q62312,reviewed,TGFR2_MOUSE,TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II),Tgfbr2,Mus musculus (Mouse),567
Q64729,Q64729,reviewed,TGFR1_MOUSE,TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (ESK2) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I),Tgfbr1,Mus musculus (Mouse),503
Q9D0L6,Q9D0L6,reviewed,BAMBI_MOUSE,BMP and activin membrane-bound inhibitor homolog (Putative transmembrane protein NMA),Bambi Nma,Mus musculus (Mouse),260
P62983,P62983,reviewed,RS27A_MOUSE,Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a],Rps27a Uba80 Ubcep1,Mus musculus (Mouse),156
P0CG50,P0CG50,reviewed,UBC_MOUSE,Polyubiquitin-C [Cleaved into: Ubiquitin; Ubiquitin-related 1; Ubiquitin-related 2],Ubc,Mus musculus (Mouse),734
P62984,P62984,reviewed,RL40_MOUSE,Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)],Uba52 Ubcep2,Mus musculus (Mouse),128
P0CG49,P0CG49,reviewed,UBB_MOUSE,Polyubiquitin-B [Cleaved into: Ubiquitin],Ubb,Mus musculus (Mouse),305
Q9Z1Z2,Q9Z1Z2,reviewed,STRAP_MOUSE,Serine-threonine kinase receptor-associated protein (UNR-interacting protein),Strap Unrip,Mus musculus (Mouse),350
Q9D7R2,Q9D7R2,reviewed,PMEPA_MOUSE,Protein TMEPAI (NEDD4 WW domain-binding protein 4) (Prostate transmembrane protein androgen induced 1) (Transmembrane prostate androgen-induced protein),Pmepa1 N4wbp4 Tmepai,Mus musculus (Mouse),260
Q9WUD1,Q9WUD1,reviewed,CHIP_MOUSE,E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1),Stub1 Chip,Mus musculus (Mouse),304
P22682,P22682,reviewed,CBL_MOUSE,E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL),Cbl,Mus musculus (Mouse),913
P23188,P23188,reviewed,FURIN_MOUSE,Furin (EC 3.4.21.75) (Dibasic-processing enzyme) (Paired basic amino acid residue-cleaving enzyme) (PACE) (Prohormone convertase 3),Furin Fur Pcsk3,Mus musculus (Mouse),793
Q8CG19,Q8CG19,reviewed,LTBP1_MOUSE,Latent-transforming growth factor beta-binding protein 1 (LTBP-1) (Transforming growth factor beta-1-binding protein 1) (TGF-beta1-BP-1),Ltbp1,Mus musculus (Mouse),1712
A2ARA8,A2ARA8,reviewed,ITA8_MOUSE,Integrin alpha-8 [Cleaved into: Integrin alpha-8 heavy chain; Integrin alpha-8 light chain],Itga8,Mus musculus (Mouse),1062
A2A8R0,A2A8R0,unreviewed,A2A8R0_MOUSE,Zinc finger FYVE domain-containing protein,Zfyve9,Mus musculus (Mouse),1397
P26883,P26883,reviewed,FKB1A_MOUSE,Peptidyl-prolyl cis-trans isomerase FKBP1A (PPIase FKBP1A) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FKBP-12) (Calstabin-1) (FK506-binding protein 1A) (FKBP-1A) (Immunophilin FKBP12) (Rotamase),Fkbp1a Fkbp1,Mus musculus (Mouse),108
P29595,P29595,reviewed,NEDD8_MOUSE,NEDD8 (Neddylin) (Neural precursor cell expressed developmentally down-regulated protein 8) (NEDD-8) (Ubiquitin-like protein Nedd8),Nedd8 Nedd-8,Mus musculus (Mouse),81
P61082,P61082,reviewed,UBC12_MOUSE,NEDD8-conjugating enzyme Ubc12 (EC 2.3.2.34) (NEDD8 carrier protein) (Ubiquitin-conjugating enzyme E2 M),Ube2m Ubc-rs2 Ubc12,Mus musculus (Mouse),183
Q61554,Q61554,reviewed,FBN1_MOUSE,Fibrillin-1 [Cleaved into: Asprosin],Fbn1 Fbn-1,Mus musculus (Mouse),2873
Q61810,Q61810,reviewed,LTBP3_MOUSE,Latent-transforming growth factor beta-binding protein 3 (LTBP-3),Ltbp3,Mus musculus (Mouse),1253
O08999,O08999,reviewed,LTBP2_MOUSE,Latent-transforming growth factor beta-binding protein 2 (LTBP-2),Ltbp2,Mus musculus (Mouse),1813
P27090,P27090,reviewed,TGFB2_MOUSE,Transforming growth factor beta-2 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-2 (TGF-beta-2)],Tgfb2,Mus musculus (Mouse),414
O88792,O88792,reviewed,JAM1_MOUSE,Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (CD antigen CD321),F11r Jam1 Jcam Jcam1,Mus musculus (Mouse),300
P59242,P59242,reviewed,CING_MOUSE,Cingulin,Cgn Kiaa1319,Mus musculus (Mouse),1191
Q9Z101,Q9Z101,reviewed,PAR6A_MOUSE,Partitioning defective 6 homolog alpha (PAR-6) (PAR-6 alpha) (PAR-6A),Pard6a Par6a,Mus musculus (Mouse),346
Q02956,Q02956,reviewed,KPCZ_MOUSE,Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta),Prkcz Pkcz,Mus musculus (Mouse),592
Q99NH2,Q99NH2,reviewed,PARD3_MOUSE,Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (Ephrin-interacting protein) (PHIP),Pard3 Par3,Mus musculus (Mouse),1333
Q6P9R4,Q6P9R4,reviewed,ARHGI_MOUSE,Rho guanine nucleotide exchange factor 18,Arhgef18 Kiaa0521,Mus musculus (Mouse),1405
Q9QUI0,Q9QUI0,reviewed,RHOA_MOUSE,Transforming protein RhoA (EC 3.6.5.2),Rhoa Arha Arha2,Mus musculus (Mouse),193
P49443,P49443,reviewed,PPM1A_MOUSE,Protein phosphatase 1A (EC 3.1.3.16) (Protein phosphatase 2C isoform alpha) (PP2C-alpha) (Protein phosphatase IA),Ppm1a Pppm1a,Mus musculus (Mouse),382
Q8CFI0,Q8CFI0,reviewed,NED4L_MOUSE,E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (EC 2.3.2.36) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2),Nedd4l Kiaa0439 Nedd4b,Mus musculus (Mouse),1004
P70398,P70398,reviewed,USP9X_MOUSE,"Probable ubiquitin carboxyl-terminal hydrolase FAF-X (EC 3.4.19.12) (Deubiquitinating enzyme FAF-X) (Fat facets homolog) (Fat facets protein-related, X-linked) (Ubiquitin carboxyl-terminal hydrolase FAM) (Ubiquitin thioesterase FAF-X) (Ubiquitin-specific protease 9, X chromosome) (Ubiquitin-specific-processing protease FAF-X)",Usp9x Fafl Fam,Mus musculus (Mouse),2559
Q99ME6,Q99ME6,reviewed,AT1B4_MOUSE,"Protein ATP1B4 (X,K-ATPase subunit beta-m) (X/potassium-transporting ATPase subunit beta-m)",Atp1b4,Mus musculus (Mouse),356
Q9CSN1,Q9CSN1,reviewed,SNW1_MOUSE,SNW domain-containing protein 1 (Nuclear protein SkiP) (Ski-interacting protein),Snw1 Skiip,Mus musculus (Mouse),536
P11103,P11103,reviewed,PARP1_MOUSE,"Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (msPARP) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-) [Cleaved into: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (Poly [ADP-ribose] polymerase 1, 24-kDa form)]",Parp1 Adprp Adprt Adprt1,Mus musculus (Mouse),1013
Q99PP7,Q99PP7,reviewed,TRI33_MOUSE,E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33),Trim33 Kiaa1113,Mus musculus (Mouse),1142
O09106,O09106,reviewed,HDAC1_MOUSE,Histone deacetylase 1 (HD1) (EC 3.5.1.98) (Protein deacetylase HDAC1) (EC 3.5.1.-) (Protein decrotonylase HDAC1) (EC 3.5.1.-),Hdac1,Mus musculus (Mouse),482
Q8C0Y1,Q8C0Y1,reviewed,TGIF2_MOUSE,Homeobox protein TGIF2 (5'-TG-3'-interacting factor 2) (TGF-beta-induced transcription factor 2) (TGFB-induced factor 2),Tgif2,Mus musculus (Mouse),237
P70284,P70284,reviewed,TGIF1_MOUSE,Homeobox protein TGIF1 (5'-TG-3'-interacting factor 1),Tgif1 Tgif,Mus musculus (Mouse),272
Q60665,Q60665,reviewed,SKIL_MOUSE,Ski-like protein (Ski-related oncogene) (Ski-related protein),Skil Skir Sno,Mus musculus (Mouse),675
Q9WU42,Q9WU42,reviewed,NCOR2_MOUSE,"Nuclear receptor corepressor 2 (N-CoR2) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (SMRTe) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)",Ncor2 Smrt,Mus musculus (Mouse),2472
Q60974,Q60974,reviewed,NCOR1_MOUSE,Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13),Ncor1 Rxrip13,Mus musculus (Mouse),2453
O89090,O89090,reviewed,SP1_MOUSE,Transcription factor Sp1 (Specificity protein 1),Sp1,Mus musculus (Mouse),784
Q99ML9,Q99ML9,reviewed,RN111_MOUSE,E3 ubiquitin-protein ligase Arkadia (EC 2.3.2.27) (RING finger protein 111) (RING-type E3 ubiquitin transferase Arkadia),Rnf111,Mus musculus (Mouse),989
Q9EPK5,Q9EPK5,reviewed,WWTR1_MOUSE,WW domain-containing transcription regulator protein 1 (Transcriptional coactivator with PDZ-binding motif),Wwtr1 Taz,Mus musculus (Mouse),395
O88559,O88559,reviewed,MEN1_MOUSE,Menin,Men1,Mus musculus (Mouse),611
Q8R3L8,Q8R3L8,reviewed,CDK8_MOUSE,Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8),Cdk8,Mus musculus (Mouse),464
Q62447,Q62447,reviewed,CCNC_MOUSE,Cyclin-C,Ccnc,Mus musculus (Mouse),283
Q7TQK0,Q7TQK0,reviewed,CCNT2_MOUSE,Cyclin-T2 (CycT2),Ccnt2,Mus musculus (Mouse),723
Q9QWV9,Q9QWV9,reviewed,CCNT1_MOUSE,Cyclin-T1 (CycT1) (Cyclin-T),Ccnt1,Mus musculus (Mouse),724
O88874,O88874,reviewed,CCNK_MOUSE,Cyclin-K,Ccnk,Mus musculus (Mouse),554
Q99J95,Q99J95,reviewed,CDK9_MOUSE,Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 9),Cdk9,Mus musculus (Mouse),372
Q08639,Q08639,reviewed,TFDP1_MOUSE,Transcription factor Dp-1 (DRTF1-polypeptide 1) (E2F dimerization partner 1),Tfdp1,Mus musculus (Mouse),410
Q64163,Q64163,reviewed,TFDP2_MOUSE,Transcription factor Dp-2 (Dp-3) (E2F dimerization partner 2),Tfdp2 Dp2,Mus musculus (Mouse),446
Q64701,Q64701,reviewed,RBL1_MOUSE,Retinoblastoma-like protein 1 (107 kDa retinoblastoma-associated protein) (p107) (pRb1),Rbl1,Mus musculus (Mouse),1063
Q61502,Q61502,reviewed,E2F5_MOUSE,Transcription factor E2F5 (E2F-5),E2f5,Mus musculus (Mouse),335
Q8R0K9,Q8R0K9,reviewed,E2F4_MOUSE,Transcription factor E2F4 (E2F-4),E2f4,Mus musculus (Mouse),410
